Date,Country,Confirmed,Deaths,Lat,Long,Recovered,max,max,max,median,median,median,min,min,min,Currency/USD
,,covid-19,covid-19,covid-19,covid-19,covid-19,aqi,pm10,pm25,aqi,pm10,pm25,aqi,pm10,pm25,forex
2019-11-05,Philippines,,,,,,,,,,,,,,,50.478
2019-11-05,Singapore,,,,,,,,,,,,,,,1.3578
2019-11-05,Thailand,,,,,,,,,,,,,,,30.211
2019-11-06,Indonesia,,,,,,,,,,,,,,,14028.5
2019-11-06,Malaysia,,,,,,,,,,,,,,,4.128
2019-11-06,Philippines,,,,,,,,,,,,,,,50.2736
2019-11-06,Singapore,,,,,,,,,,,,,,,1.3582
2019-11-06,Thailand,,,,,,,,,,,,,,,30.2199
2019-11-07,Indonesia,,,,,,,,,,,,,,,14008.0
2019-11-07,Malaysia,,,,,,,,,,,,,,,4.1345
2019-11-07,Philippines,,,,,,,,,,,,,,,50.4758
2019-11-07,Singapore,,,,,,,,,,,,,,,1.3604
2019-11-07,Thailand,,,,,,,,,,,,,,,30.29
2019-11-08,Indonesia,,,,,,,,,,,,,,,14013.0
2019-11-08,Philippines,,,,,,,,,,,,,,,50.55
2019-11-08,Singapore,,,,,,,,,,,,,,,1.3573
2019-11-08,Thailand,,,,,,,,,,,,,,,30.4137
2019-11-11,Indonesia,,,,,,,,,,,,,,,14014.0
2019-11-11,Malaysia,,,,,,,,,,,,,,,4.1305
2019-11-11,Philippines,,,,,,,,,,,,,,,50.52
2019-11-11,Singapore,,,,,,,,,,,,,,,1.3599
2019-11-11,Thailand,,,,,,,,,,,,,,,30.3512
2019-11-12,Indonesia,,,,,,,,,,,,,,,13997.2002
2019-11-12,Malaysia,,,,,,,,,,,,,,,4.141
2019-11-12,Philippines,,,,,,,,,,,,,,,50.7
2019-11-12,Singapore,,,,,,,,,,,,,,,1.3603
2019-11-12,Thailand,,,,,,,,,,,,,,,30.3407
2019-11-13,Indonesia,,,,,,,,,,,,,,,13852.7002
2019-11-13,Malaysia,,,,,,,,,,,,,,,4.14
2019-11-13,Philippines,,,,,,,,,,,,,,,50.6533
2019-11-13,Singapore,,,,,,,,,,,,,,,1.3624
2019-11-13,Thailand,,,,,,,,,,,,,,,30.332
2019-11-14,Indonesia,,,,,,,,,,,,,,,13871.5996
2019-11-14,Malaysia,,,,,,,,,,,,,,,4.151
2019-11-14,Philippines,,,,,,,,,,,,,,,50.778
2019-11-14,Singapore,,,,,,,,,,,,,,,1.3622
2019-11-14,Thailand,,,,,,,,,,,,,,,30.236
2019-11-15,Indonesia,,,,,,,,,,,,,,,14078.0
2019-11-15,Malaysia,,,,,,,,,,,,,,,4.16
2019-11-15,Philippines,,,,,,,,,,,,,,,50.578
2019-11-15,Singapore,,,,,,,,,,,,,,,1.3617
2019-11-15,Thailand,,,,,,,,,,,,,,,30.2
2019-11-18,Indonesia,,,,,,,,,,,,,,,13840.2998
2019-11-18,Malaysia,,,,,,,,,,,,,,,4.1505
2019-11-18,Philippines,,,,,,,,,,,,,,,50.4547
2019-11-18,Singapore,,,,,,,,,,,,,,,1.3601
2019-11-18,Thailand,,,,,,,,,,,,,,,30.2322
2019-11-19,Indonesia,,,,,,,,,,,,,,,14139.0
2019-11-19,Malaysia,,,,,,,,,,,,,,,4.153
2019-11-19,Philippines,,,,,,,,,,,,,,,50.628
2019-11-19,Singapore,,,,,,,,,,,,,,,1.36
2019-11-19,Thailand,,,,,,,,,,,,,,,30.19
2019-11-20,Indonesia,,,,,,,,,,,,,,,14083.0
2019-11-20,Malaysia,,,,,,,,,,,,,,,4.1551
2019-11-20,Philippines,,,,,,,,,,,,,,,50.784
2019-11-20,Singapore,,,,,,,,,,,,,,,1.3612
2019-11-20,Thailand,,,,,,,,,,,,,,,30.183
2019-11-21,Indonesia,,,,,,,,,,,,,,,14035.2998
2019-11-21,Malaysia,,,,,,,,,,,,,,,4.163
2019-11-21,Philippines,,,,,,,,,,,,,,,50.7849
2019-11-21,Singapore,,,,,,,,,,,,,,,1.362
2019-11-21,Thailand,,,,,,,,,,,,,,,30.183
2019-11-22,Indonesia,,,,,,,,,,,,,,,14070.0
2019-11-22,Malaysia,,,,,,,,,,,,,,,4.167
2019-11-22,Philippines,,,,,,,,,,,,,,,50.835
2019-11-22,Singapore,,,,,,,,,,,,,,,1.3624
2019-11-22,Thailand,,,,,,,,,,,,,,,30.21
2019-11-25,Indonesia,,,,,,,,,,,,,,,14083.0
2019-11-25,Malaysia,,,,,,,,,,,,,,,4.17
2019-11-25,Philippines,,,,,,,,,,,,,,,50.895
2019-11-25,Singapore,,,,,,,,,,,,,,,1.3642
2019-11-25,Thailand,,,,,,,,,,,,,,,30.2091
2019-11-26,Indonesia,,,,,,,,,,,,,,,14063.7002
2019-11-26,Malaysia,,,,,,,,,,,,,,,4.176
2019-11-26,Philippines,,,,,,,,,,,,,,,50.8
2019-11-26,Singapore,,,,,,,,,,,,,,,1.3648
2019-11-26,Thailand,,,,,,,,,,,,,,,30.1994
2019-11-27,Indonesia,,,,,,,,,,,,,,,14078.0
2019-11-27,Malaysia,,,,,,,,,,,,,,,4.1695
2019-11-27,Philippines,,,,,,,,,,,,,,,50.83
2019-11-27,Singapore,,,,,,,,,,,,,,,1.3645
2019-11-27,Thailand,,,,,,,,,,,,,,,30.1831
2019-11-28,Indonesia,,,,,,,,,,,,,,,14087.0996
2019-11-28,Malaysia,,,,,,,,,,,,,,,4.1695
2019-11-28,Philippines,,,,,,,,,,,,,,,50.8
2019-11-28,Singapore,,,,,,,,,,,,,,,1.3658
2019-11-28,Thailand,,,,,,,,,,,,,,,30.2349
2019-11-29,Indonesia,,,,,,,,,,,,,,,13868.7002
2019-11-29,Malaysia,,,,,,,,,,,,,,,4.172
2019-11-29,Philippines,,,,,,,,,,,,,,,50.75
2019-11-29,Singapore,,,,,,,,,,,,,,,1.3656
2019-11-29,Thailand,,,,,,,,,,,,,,,30.22
2019-12-02,Indonesia,,,,,,,,,,,,,,,13868.2998
2019-12-02,Malaysia,,,,,,,,,,,,,,,4.175
2019-12-02,Philippines,,,,,,,,,,,,,,,50.7181
2019-12-02,Singapore,,,,,,,,,,,,,,,1.3674
2019-12-02,Thailand,,,,,,,,,,,,,,,30.184
2019-12-03,Indonesia,,,,,,,,,,,,,,,14123.2998
2019-12-03,Malaysia,,,,,,,,,,,,,,,4.1763
